timestamp_ms,node,cpu_load_avg,cpu_combined,heap_used_mb,heap_committed_mb,heap_max_mb,processors
1778155960011,127.0.0.1:2551,2.5361,0.1148,91.12,308.00,4096.00,8
1778155960011,127.0.0.1:2551,2.5361,0.1148,91.12,308.00,4096.00,8
1778155963032,127.0.0.1:2551,2.4932,0.1177,91.28,308.00,4096.00,8
1778155963032,127.0.0.1:2551,2.4932,0.1177,91.28,308.00,4096.00,8
1778155966041,127.0.0.1:2551,2.2935,0.1089,91.57,308.00,4096.00,8
1778155966041,127.0.0.1:2551,2.2935,0.1089,91.57,308.00,4096.00,8
1778155969059,127.0.0.1:2551,2.2935,0.1202,91.82,308.00,4096.00,8
1778155969059,127.0.0.1:2551,2.2935,0.1202,91.82,308.00,4096.00,8
1778155972090,127.0.0.1:2551,2.1094,0.1209,92.02,308.00,4096.00,8
1778155972090,127.0.0.1:2551,2.1094,0.1209,92.02,308.00,4096.00,8
1778155975090,127.0.0.1:2551,2.1094,0.1261,92.20,308.00,4096.00,8
1778155975090,127.0.0.1:2551,2.1094,0.1261,92.20,308.00,4096.00,8
1778155978111,127.0.0.1:2551,2.1807,0.1606,92.35,308.00,4096.00,8
1778155978111,127.0.0.1:2551,2.1807,0.1606,92.35,308.00,4096.00,8
1778155981130,127.0.0.1:2551,2.1660,0.2158,92.47,308.00,4096.00,8
1778155981130,127.0.0.1:2551,2.1660,0.2158,92.47,308.00,4096.00,8
1778155984148,127.0.0.1:2551,2.1660,0.2168,95.60,308.00,4096.00,8
1778155984148,127.0.0.1:2551,2.1660,0.2168,95.60,308.00,4096.00,8
1778155987171,127.0.0.1:2551,2.2324,0.2271,109.20,308.00,4096.00,8
1778155987170,127.0.0.1:2551,2.2324,0.2271,109.20,308.00,4096.00,8
1778155990197,127.0.0.1:2551,2.2324,0.2302,115.26,308.00,4096.00,8
1778155990197,127.0.0.1:2551,2.2324,0.2302,115.26,308.00,4096.00,8
1778155993208,127.0.0.1:2551,2.2134,0.2241,108.95,308.00,4096.00,8
1778155993208,127.0.0.1:2551,2.2134,0.2241,108.95,308.00,4096.00,8
1778155997663,127.0.0.1:2551,2.1963,0.2286,120.49,308.00,4096.00,8
1778155997670,127.0.0.1:2551,2.1963,0.2286,120.49,308.00,4096.00,8
1778156016615,127.0.0.1:2551,2.4795,0.2509,184.27,553.66,4096.00,8
1778156016617,127.0.0.1:2551,2.4795,0.2509,184.27,553.66,4096.00,8
1778156019628,127.0.0.1:2551,2.4795,0.2619,347.37,760.23,4096.00,8
1778156019628,127.0.0.1:2551,2.4795,0.2619,347.37,760.23,4096.00,8
1778156022754,127.0.0.1:2551,2.3608,0.2671,400.73,933.93,4096.00,8
1778156022754,127.0.0.1:2551,2.3608,0.2671,400.73,933.93,4096.00,8
1778156025774,127.0.0.1:2551,2.3608,0.2924,495.84,1080.00,4096.00,8
1778156025774,127.0.0.1:2551,2.3608,0.2924,495.84,1080.00,4096.00,8
1778156028887,127.0.0.1:2551,2.8120,0.3518,658.07,1202.83,4096.00,8
1778156028887,127.0.0.1:2551,2.8120,0.3518,658.07,1202.83,4096.00,8
1778156031897,127.0.0.1:2551,2.9868,0.4336,743.61,1465.22,4096.00,8
1778156031897,127.0.0.1:2551,2.9868,0.4336,743.61,1465.22,4096.00,8
1778156034897,127.0.0.1:2551,2.9868,0.4307,916.88,1725.48,4096.00,8
1778156034897,127.0.0.1:2551,2.9868,0.4307,916.88,1725.48,4096.00,8
1778156037923,127.0.0.1:2551,2.8276,0.3887,1005.50,1944.33,4096.00,8
1778156037921,127.0.0.1:2551,2.8276,0.3887,1005.50,1944.33,4096.00,8
1778156044666,127.0.0.1:2551,2.7612,0.3777,1134.84,2128.36,4096.00,8
1778156044675,127.0.0.1:2551,2.7612,0.3777,1134.84,2128.36,4096.00,8
1778156051224,127.0.0.1:2551,2.6440,0.3583,1273.92,2283.11,4096.00,8
1778156051226,127.0.0.1:2551,2.6440,0.3583,1273.92,2283.11,4096.00,8
1778156054236,127.0.0.1:2551,2.6440,0.3359,1381.81,2413.24,4096.00,8
1778156054236,127.0.0.1:2551,2.6440,0.3359,1381.81,2413.24,4096.00,8
1778156057255,127.0.0.1:2551,2.5122,0.3341,1475.87,2522.67,4096.00,8
1778156057255,127.0.0.1:2551,2.5122,0.3341,1475.87,2522.67,4096.00,8
1778156060281,127.0.0.1:2551,2.5122,0.3178,1612.08,2614.68,4096.00,8
1778156060281,127.0.0.1:2551,2.5122,0.3178,1612.08,2614.68,4096.00,8
1778156063296,127.0.0.1:2551,6.8750,0.3334,1702.20,2692.06,4096.00,8
1778156063296,127.0.0.1:2551,6.8750,0.3334,1702.20,2692.06,4096.00,8
1778156066315,127.0.0.1:2551,6.4844,0.3713,1875.27,2757.12,4096.00,8
1778156066315,127.0.0.1:2551,6.4844,0.3713,1875.27,2757.12,4096.00,8
1778156069348,127.0.0.1:2551,6.4844,0.4299,1744.77,2841.90,4096.00,8
1778156069348,127.0.0.1:2551,6.4844,0.4299,1744.77,2841.90,4096.00,8
1778156072355,127.0.0.1:2551,6.2051,0.4288,1680.76,2925.77,4096.00,8
1778156072355,127.0.0.1:2551,6.2051,0.4288,1680.76,2925.77,4096.00,8
1778156075376,127.0.0.1:2551,6.2051,0.4198,1657.17,3032.72,4096.00,8
1778156075376,127.0.0.1:2551,6.2051,0.4198,1657.17,3032.72,4096.00,8
1778156078799,127.0.0.1:2551,5.7080,0.3735,1662.86,3122.66,4096.00,8
1778156078801,127.0.0.1:2551,5.7080,0.3735,1662.86,3122.66,4096.00,8
1778156087196,127.0.0.1:2551,5.2109,0.3469,1706.88,3198.29,4096.00,8
1778156087199,127.0.0.1:2551,5.2109,0.3469,1706.88,3198.29,4096.00,8
1778156090220,127.0.0.1:2551,5.2109,0.4019,1774.28,3282.25,4096.00,8
1778156090220,127.0.0.1:2551,5.2109,0.4019,1774.28,3282.25,4096.00,8
1778156093236,127.0.0.1:2551,5.1138,0.3711,1873.43,3352.85,4096.00,8
1778156093236,127.0.0.1:2551,5.1138,0.3711,1873.43,3352.85,4096.00,8
1778156096255,127.0.0.1:2551,4.8643,0.3452,1929.00,3412.22,4096.00,8
1778156096255,127.0.0.1:2551,4.8643,0.3452,1929.00,3412.22,4096.00,8
1778156099276,127.0.0.1:2551,4.8643,0.3251,1994.79,3470.58,4096.00,8
1778156099276,127.0.0.1:2551,4.8643,0.3251,1994.79,3470.58,4096.00,8
1778156102294,127.0.0.1:2551,5.5156,0.3185,2064.83,3519.65,4096.00,8
1778156102294,127.0.0.1:2551,5.5156,0.3185,2064.83,3519.65,4096.00,8
1778156105314,127.0.0.1:2551,5.5156,0.3075,2152.21,3560.91,4096.00,8
1778156105314,127.0.0.1:2551,5.5156,0.3075,2152.21,3560.91,4096.00,8
1778156108335,127.0.0.1:2551,5.3140,0.3582,2305.69,3601.98,4096.00,8
1778156108335,127.0.0.1:2551,5.3140,0.3582,2305.69,3601.98,4096.00,8
1778156111357,127.0.0.1:2551,5.1284,0.3759,2091.74,3638.41,4096.00,8
1778156111357,127.0.0.1:2551,5.1284,0.3759,2091.74,3638.41,4096.00,8
1778156114379,127.0.0.1:2551,5.1284,0.3967,1965.22,3677.49,4096.00,8
1778156114379,127.0.0.1:2551,5.1284,0.3967,1965.22,3677.49,4096.00,8
1778156117394,127.0.0.1:2551,4.7974,0.3879,1863.04,3710.35,4096.00,8
1778156117394,127.0.0.1:2551,4.7974,0.3879,1863.04,3710.35,4096.00,8
1778156120415,127.0.0.1:2551,4.7974,0.3427,1783.32,3737.97,4096.00,8
1778156120415,127.0.0.1:2551,4.7974,0.3427,1783.32,3737.97,4096.00,8
1778156128986,127.0.0.1:2551,4.4341,0.3175,1728.54,3761.21,4096.00,8
1778156128987,127.0.0.1:2551,4.4341,0.3175,1728.54,3761.21,4096.00,8
1778156131994,127.0.0.1:2551,4.5591,0.3484,1741.90,3780.74,4096.00,8
1778156131994,127.0.0.1:2551,4.5591,0.3484,1741.90,3780.74,4096.00,8
1778156135015,127.0.0.1:2551,4.5591,0.3314,1738.81,3797.17,4096.00,8
1778156135015,127.0.0.1:2551,4.5591,0.3314,1738.81,3797.17,4096.00,8
1778156138034,127.0.0.1:2551,4.2739,0.3279,1775.02,3810.99,4096.00,8
1778156138034,127.0.0.1:2551,4.2739,0.3279,1775.02,3810.99,4096.00,8
1778156141043,127.0.0.1:2551,4.2739,0.3075,1848.27,3822.60,4096.00,8
1778156141043,127.0.0.1:2551,4.2739,0.3075,1848.27,3822.60,4096.00,8
1778156144066,127.0.0.1:2551,4.0918,0.3139,1998.66,3834.92,4096.00,8
1778156144066,127.0.0.1:2551,4.0918,0.3139,1998.66,3834.92,4096.00,8
1778156147073,127.0.0.1:2551,4.0840,0.3711,2158.78,3855.46,4096.00,8
1778156147073,127.0.0.1:2551,4.0840,0.3711,2158.78,3855.46,4096.00,8
1778156150104,127.0.0.1:2551,4.0840,0.3872,2280.36,3877.02,4096.00,8
1778156150104,127.0.0.1:2551,4.0840,0.3872,2280.36,3877.02,4096.00,8
1778156153113,127.0.0.1:2551,3.8369,0.3722,2397.16,3897.06,4096.00,8
1778156153113,127.0.0.1:2551,3.8369,0.3722,2397.16,3897.06,4096.00,8
1778156156141,127.0.0.1:2551,3.8369,0.3759,2146.40,3913.92,4096.00,8
1778156156141,127.0.0.1:2551,3.8369,0.3759,2146.40,3913.92,4096.00,8
1778156159155,127.0.0.1:2551,3.9297,0.3439,1956.55,3928.09,4096.00,8
1778156159155,127.0.0.1:2551,3.9297,0.3439,1956.55,3928.09,4096.00,8
1778156169052,127.0.0.1:2551,4.0396,0.3307,1823.21,3940.01,4096.00,8
1778156169053,127.0.0.1:2551,4.0396,0.3307,1823.21,3940.01,4096.00,8
1778156172065,127.0.0.1:2551,4.0361,0.3121,1716.50,3950.03,4096.00,8
1778156172065,127.0.0.1:2551,4.0361,0.3121,1716.50,3950.03,4096.00,8
1778156175082,127.0.0.1:2551,4.0361,0.3086,1670.88,3958.46,4096.00,8
1778156175082,127.0.0.1:2551,4.0361,0.3086,1670.88,3958.46,4096.00,8
1778156178102,127.0.0.1:2551,3.8730,0.2902,1677.23,3965.55,4096.00,8
1778156178102,127.0.0.1:2551,3.8730,0.2902,1677.23,3965.55,4096.00,8
1778156181121,127.0.0.1:2551,3.8730,0.2924,1610.05,3971.51,4096.00,8
1778156181121,127.0.0.1:2551,3.8730,0.2924,1610.05,3971.51,4096.00,8
1778156184145,127.0.0.1:2551,3.7227,0.3205,1632.48,3976.52,4096.00,8
1778156184145,127.0.0.1:2551,3.7227,0.3205,1632.48,3976.52,4096.00,8
1778156187163,127.0.0.1:2551,3.5845,0.3472,1706.07,3982.96,4096.00,8
1778156187163,127.0.0.1:2551,3.5845,0.3472,1706.07,3982.96,4096.00,8
1778156190210,127.0.0.1:2551,3.5845,0.3387,1769.27,3989.96,4096.00,8
1778156190210,127.0.0.1:2551,3.5845,0.3387,1769.27,3989.96,4096.00,8
1778156193255,127.0.0.1:2551,3.5376,0.3385,1830.94,3995.86,4096.00,8
1778156193255,127.0.0.1:2551,3.5376,0.3385,1830.94,3995.86,4096.00,8
1778156196271,127.0.0.1:2551,3.3340,0.3315,1924.14,4000.81,4096.00,8
1778156196271,127.0.0.1:2551,3.3340,0.3315,1924.14,4000.81,4096.00,8
1778156211261,127.0.0.1:2551,3.2656,0.3106,2068.26,4004.98,4096.00,8
1778156211263,127.0.0.1:2551,3.2656,0.3106,2068.26,4004.98,4096.00,8
