timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778156655882,127.0.0.1:2551,127.0.0.1:2551,11,6
1778156660881,127.0.0.1:2551,127.0.0.1:2551,11,6
1778156665879,127.0.0.1:2551,127.0.0.1:2551,11,6
1778156670885,127.0.0.1:2551,127.0.0.1:2551,11,5
1778156675901,127.0.0.1:2551,127.0.0.1:2551,11,3
1778156680901,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156685883,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156690880,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156695879,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156700887,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156705899,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156710888,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156715883,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156720882,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156725878,127.0.0.1:2551,127.0.0.1:2551,11,1
1778156879876,127.0.0.1:2551,127.0.0.1:2551,0,0
1778156884859,127.0.0.1:2551,127.0.0.1:2551,0,0
1778156889859,127.0.0.1:2551,127.0.0.1:2551,0,0
1778156894846,127.0.0.1:2551,127.0.0.1:2551,0,0
1778156899897,127.0.0.1:2551,127.0.0.1:2551,1,1
1778156904885,127.0.0.1:2551,127.0.0.1:2551,2,1
1778156909856,127.0.0.1:2551,127.0.0.1:2551,10,10
1778156914871,127.0.0.1:2551,127.0.0.1:2551,10,0
1778156919847,127.0.0.1:2551,127.0.0.1:2551,19,0
1778156924878,127.0.0.1:2551,127.0.0.1:2551,23,10
1778156929864,127.0.0.1:2551,127.0.0.1:2551,26,10
1778156934866,127.0.0.1:2551,127.0.0.1:2551,26,0
1778156939851,127.0.0.1:2551,127.0.0.1:2551,30,0
1778156944851,127.0.0.1:2551,127.0.0.1:2551,33,20
1778156949865,127.0.0.1:2551,127.0.0.1:2551,33,0
1778156954871,127.0.0.1:2551,127.0.0.1:2551,35,20
1778156959856,127.0.0.1:2551,127.0.0.1:2551,35,0
1778156965333,127.0.0.1:2551,127.0.0.1:2551,36,20
1778156969866,127.0.0.1:2551,127.0.0.1:2551,36,4
1778156974863,127.0.0.1:2551,127.0.0.1:2551,38,20
1778156979860,127.0.0.1:2551,127.0.0.1:2551,38,4
1778156984851,127.0.0.1:2551,127.0.0.1:2551,38,20
1778156989854,127.0.0.1:2551,127.0.0.1:2551,38,4
1778156994857,127.0.0.1:2551,127.0.0.1:2551,38,30
1778156999861,127.0.0.1:2551,127.0.0.1:2551,38,14
1778157004845,127.0.0.1:2551,127.0.0.1:2551,38,0
1778157009847,127.0.0.1:2551,127.0.0.1:2551,39,30
1778157014849,127.0.0.1:2551,127.0.0.1:2551,39,0
1778157019854,127.0.0.1:2551,127.0.0.1:2551,39,30
1778157024844,127.0.0.1:2551,127.0.0.1:2551,39,14
1778157030379,127.0.0.1:2551,127.0.0.1:2551,39,30
1778157034840,127.0.0.1:2551,127.0.0.1:2551,39,14
1778157039847,127.0.0.1:2551,127.0.0.1:2551,39,5
1778157044832,127.0.0.1:2551,127.0.0.1:2551,39,30
1778157049852,127.0.0.1:2551,127.0.0.1:2551,39,14
1778157054867,127.0.0.1:2551,127.0.0.1:2551,39,0
1778157059847,127.0.0.1:2551,127.0.0.1:2551,39,0
1778157064844,127.0.0.1:2551,127.0.0.1:2551,39,0
1778157069839,127.0.0.1:2551,127.0.0.1:2551,39,0
1778157091153,127.0.0.1:2551,127.0.0.1:2551,0,0
1778157096128,127.0.0.1:2551,127.0.0.1:2551,0,0
1778157101163,127.0.0.1:2551,127.0.0.1:2551,1,1
1778157106153,127.0.0.1:2551,127.0.0.1:2551,1,1
1778157111131,127.0.0.1:2551,127.0.0.1:2551,1,1
1778157116130,127.0.0.1:2551,127.0.0.1:2551,1,1
1778157121130,127.0.0.1:2551,127.0.0.1:2551,2,1
1778157126130,127.0.0.1:2551,127.0.0.1:2551,2,1
1778157131126,127.0.0.1:2551,127.0.0.1:2551,2,1
1778157136201,127.0.0.1:2551,127.0.0.1:2551,2,1
1778157159926,akka://Querying@127.0.0.1:2551,(empty),0,0
1778157161926,127.0.0.1:2551,127.0.0.1:2551,10,8
1778157161927,127.0.0.1:2551,127.0.0.1:2551,10,8
1778157161927,127.0.0.1:2551,127.0.0.1:2551,10,8
1778157165580,akka://Querying@127.0.0.1:2551,(empty),0,0
1778157166119,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157171124,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157176150,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157181126,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157186125,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157191267,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157196314,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157201604,127.0.0.1:2551,127.0.0.1:2551,10,5
1778157206208,127.0.0.1:2551,127.0.0.1:2551,10,4
1778157211140,127.0.0.1:2551,127.0.0.1:2551,10,0
1778157222795,127.0.0.1:2551,127.0.0.1:2551,15,8
