timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778229920451,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229925451,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229925451,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229930451,155.223.25.1:2551,155.223.25.1:2551,20,4
1778229930451,155.223.25.1:2551,155.223.25.2:2551,19,2
1778229935451,155.223.25.1:2551,155.223.25.1:2551,20,2
1778229935451,155.223.25.1:2551,155.223.25.2:2551,19,1
1778229940452,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229940452,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229945451,155.223.25.1:2551,155.223.25.1:2551,20,3
1778229945451,155.223.25.1:2551,155.223.25.2:2551,19,3
1778229951553,155.223.25.1:2551,155.223.25.1:2551,20,2
1778229951553,155.223.25.1:2551,155.223.25.2:2551,19,1
1778229955451,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229955451,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229960451,155.223.25.1:2551,155.223.25.1:2551,20,5
1778229960451,155.223.25.1:2551,155.223.25.2:2551,19,4
1778229965597,155.223.25.1:2551,155.223.25.1:2551,20,3
1778229965597,155.223.25.1:2551,155.223.25.2:2551,19,3
1778229970451,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229970451,155.223.25.1:2551,155.223.25.2:2551,19,1
1778229975451,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229975451,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229980452,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229980452,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229985451,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229985451,155.223.25.1:2551,155.223.25.2:2551,19,0
1778229990451,155.223.25.1:2551,155.223.25.1:2551,20,0
1778229990451,155.223.25.1:2551,155.223.25.2:2551,19,0
