timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778536851531,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",8,100,100,23,1,495.339
1778536861097,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",8,100,100,5854,9118,2646.725
1778536864817,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",8,100,100,43830,1819,3107.581
1778536866454,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",8,100,100,4797,1397,1280.541
1778536868525,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",8,100,100,13,2,25.218
1778536869844,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",8,100,100,13,2,25.876
1778536872091,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",8,100,100,13,2,29.314
1778536874355,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",8,100,100,13,2,13.634
1778536876612,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",8,100,100,13,2,20.815
1778536878853,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",8,100,100,13,2,21.120
1778536881128,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",8,100,100,13,2,52.558
1778536883385,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",8,100,100,13,2,34.110
1778536885647,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",8,100,100,13,2,34.620
1778536887909,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",8,100,100,13,2,40.910
1778536890170,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",8,100,100,13,2,32.143
1778536892439,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",8,100,100,13,2,39.023
1778536894729,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-9",8,100,100,13,2,29.419
1778536897009,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-10",8,100,100,13,2,41.056
1778536900846,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-1",8,100,100,23,1,82.434
1778536904638,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-2",8,100,100,23,1,20.240
1778536908412,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-3",8,100,100,23,1,15.899
1778536912623,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-1",8,100,100,23,1,28.252
1778536916412,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-2",8,100,100,23,1,25.336
1778536920182,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-3",8,100,100,23,1,22.291
1778536923990,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-4",8,100,100,23,1,23.539
1778536927966,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-5",8,100,100,23,1,18.833
1778536932047,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-6",8,100,100,23,1,17.257
1778536935758,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-7",8,100,100,23,1,15.810
1778536939524,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-8",8,100,100,23,1,15.182
1778536943423,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-9",8,100,100,23,1,22.723
1778536947103,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-10",8,100,100,23,1,12.199
1778536952090,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",8,100,100,5854,9118,739.388
1778536953924,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",8,100,100,1397,1819,664.175
1778536958727,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",8,100,100,43830,119,2668.134
1778536964536,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",8,100,100,5854,9118,829.393
1778536966714,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",8,100,100,1397,1819,758.551
1778536969912,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",8,100,100,43830,119,2355.086
1778536975474,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",8,100,100,5854,9118,1031.866
1778536977952,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",8,100,100,1397,1819,662.527
1778536981737,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",8,100,100,43830,119,3082.379
1778536987529,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",8,100,100,5854,9118,812.823
1778536990965,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",8,100,100,1397,1819,824.094
1778536993596,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",8,100,100,119,43830,2598.836
1778536998851,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",8,100,100,5854,9118,891.378
1778537004241,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",8,100,100,43830,1819,3089.970
1778537005912,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",8,100,100,4797,1397,1287.813
1778537011265,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",8,100,100,5854,9118,966.439
1778537014182,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",8,100,100,1397,1819,737.173
1778537017164,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",8,100,100,119,43830,2951.770
1778537022378,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",8,100,100,5854,9118,852.111
1778537024899,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",8,100,100,1397,1819,819.612
1778537028154,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",8,100,100,43830,119,2368.253
1778537033260,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-5",8,100,100,5854,9118,836.070
1778537036532,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-5",8,100,100,1397,1819,833.485
1778537038977,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-5",8,100,100,119,43830,2413.467
1778537043948,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-6",8,100,100,5854,9118,756.764
1778537050090,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-6",8,100,100,43830,1819,3306.667
1778537051808,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-6",8,100,100,4797,1397,1335.312
1778537059398,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-7",8,100,100,5854,9118,1046.436
1778537063421,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-7",8,100,100,1397,1819,1054.784
1778537068852,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-7",8,100,100,43830,119,2613.451
1778537074523,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-8",8,100,100,5854,9118,828.494
