timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778508380826,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",8,100,100,23,1,67.588
1778508383747,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",8,100,100,5854,9118,769.134
1778508384273,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",8,100,100,1819,1397,447.915
1778508386217,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",8,100,100,43830,119,1411.793
1778508387569,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",8,100,100,13,2,14.301
1778508388627,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",8,100,100,13,2,21.227
1778508390671,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",8,100,100,13,2,14.767
1778508392712,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",8,100,100,13,2,14.336
1778508394756,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",8,100,100,13,2,19.008
1778508396804,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",8,100,100,13,2,19.764
1778508398849,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",8,100,100,2,13,18.202
1778508400886,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",8,100,100,13,2,12.036
1778508402930,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",8,100,100,13,2,14.239
1778508404969,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",8,100,100,13,2,15.164
1778508407009,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",8,100,100,13,2,17.678
1778508409050,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",8,100,100,2,13,18.216
1778508411098,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-9",8,100,100,2,13,22.607
1778508413142,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-10",8,100,100,13,2,17.954
1778508417110,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-1",8,100,100,23,1,22.443
1778508420685,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-2",8,100,100,23,1,16.883
1778508424280,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-3",8,100,100,23,1,21.554
1778508428006,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-1",8,100,100,23,1,26.649
1778508431547,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-2",8,100,100,23,1,19.101
1778508435100,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-3",8,100,100,23,1,20.929
1778508438838,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-4",8,100,100,23,1,22.383
1778508442391,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-5",8,100,100,23,1,15.916
1778508446217,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-6",8,100,100,23,1,19.138
1778508449847,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-7",8,100,100,23,1,19.092
1778508453439,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-8",8,100,100,23,1,17.115
1778508457333,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-9",8,100,100,23,1,20.269
1778508460874,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-10",8,100,100,23,1,13.262
1778508463695,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",8,100,100,5854,9118,411.315
1778508464115,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",8,100,100,1819,1397,365.709
1778508466376,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",8,100,100,43830,119,1385.823
1778508469402,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",8,100,100,5854,9118,386.544
1778508469872,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",8,100,100,1819,1397,417.712
1778508471980,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",8,100,100,43830,119,1264.493
1778508475066,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",8,100,100,5854,9118,444.192
1778508475518,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",8,100,100,1819,1397,384.423
1778508477490,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",8,100,100,43830,119,1173.871
1778508480550,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",8,100,100,5854,9118,419.224
1778508480990,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",8,100,100,1819,1397,389.934
1778508483005,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",8,100,100,43830,119,1219.929
1778508486044,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",8,100,100,5854,9118,426.523
1778508486513,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",8,100,100,1819,1397,407.074
1778508489005,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",8,100,100,43830,119,1492.965
1778508492089,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",8,100,100,5854,9118,459.684
1778508492555,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",8,100,100,1819,1397,410.689
1778508494752,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",8,100,100,43830,119,1410.032
1778508497823,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",8,100,100,5854,9118,435.723
1778508498261,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",8,100,100,1819,1397,388.146
1778508500236,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",8,100,100,43830,119,1180.505
1778508503226,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-5",8,100,100,5854,9118,381.348
1778508503682,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-5",8,100,100,1819,1397,373.904
1778508505786,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-5",8,100,100,43830,119,1245.945
