timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778534403979,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",2,100,100,23,1,419.673
1778534411617,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",2,100,100,5854,9118,2636.051
1778534415707,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",2,100,100,1397,1819,1291.047
1778534419887,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",2,100,100,43830,119,3181.372
1778534421958,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",2,100,100,13,2,29.577
1778534423243,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",2,100,100,13,2,20.223
1778534425535,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",2,100,100,13,2,48.210
1778534427805,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",2,100,100,13,2,15.735
1778534430079,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",2,100,100,13,2,20.163
1778534432325,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",2,100,100,13,2,17.115
1778534434578,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",2,100,100,13,2,22.179
1778534436833,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",2,100,100,13,2,33.512
1778534439081,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",2,100,100,13,2,13.077
1778534441324,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",2,100,100,13,2,18.678
1778534443577,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",2,100,100,13,2,19.746
1778534445908,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",2,100,100,13,2,20.408
1778534448219,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-9",2,100,100,13,2,81.013
1778534450472,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-10",2,100,100,13,2,20.473
1778534454192,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-1",2,100,100,23,1,18.545
